customer_id,tenure_months,orders_per_month,avg_order_value,recency_days,discount_usage_rate,return_rate,clv_next_12m,loyalty_index,monetary_value
CUST_0000,59,4.7,1885.53,225,0.39,0.24,20725.71,0.4636,8861.991
CUST_0001,41,4.94,2457.18,1,0.31,0.4,65848.74,0.414,12138.4692
CUST_0002,6,1.69,911.62,190,0.65,0.06,851.68,0.32899999999999996,1540.6378
CUST_0003,17,5.84,2108.19,38,0.59,0.04,43039.02,0.3936,12311.8296
CUST_0004,28,4.11,1827.3,120,0.68,0.06,15490.25,0.30079999999999996,7510.203
CUST_0005,20,1.58,382.0,28,0.11,0.23,4508.97,0.6853,603.5600000000001
CUST_0006,7,2.68,2818.44,266,0.38,0.12,8771.07,0.5456,7553.4192
CUST_0007,17,5.8,2615.2,335,0.44,0.2,7578.15,0.44800000000000006,15168.159999999998
CUST_0008,22,5.95,1061.19,223,0.18,0.13,23350.76,0.7134,6314.080500000001
CUST_0009,50,5.78,1002.71,142,0.66,0.3,15825.05,0.23799999999999996,5795.6638
CUST_0010,38,5.05,1585.9,163,0.26,0.22,29159.89,0.5772,8008.795
CUST_0011,53,5.45,893.23,136,0.52,0.01,14636.3,0.47519999999999996,4868.1035
CUST_0012,31,5.07,1608.01,250,0.52,0.33,11708.56,0.32159999999999994,8152.6107
CUST_0013,16,2.66,559.18,41,0.22,0.17,16088.3,0.6474,1487.4188
CUST_0014,30,1.91,420.62,266,0.48,0.03,500.0,0.5044,803.3842
CUST_0015,33,5.97,2046.19,132,0.24,0.14,67143.54,0.6536,12215.7543
CUST_0016,22,0.9,1842.83,115,0.61,0.03,2643.47,0.3783,1658.547
CUST_0017,57,4.07,1192.6,227,0.57,0.34,5690.65,0.2838,4853.882
CUST_0018,26,2.3,2701.99,61,0.2,0.01,51533.01,0.792,6214.576999999999
CUST_0019,18,3.73,2997.43,264,0.18,0.06,26816.91,0.7708,11180.4139
CUST_0020,15,3.48,2144.37,56,0.11,0.03,64709.7,0.8633,7462.4076
CUST_0021,56,2.98,2542.5,122,0.37,0.22,23746.52,0.4914,7576.65
CUST_0022,58,5.29,1466.76,119,0.25,0.02,51146.1,0.735,7759.1604
